rank,keyword,slug,priority_score,winnability,source,serp_intent,gap_mode,bid_verdict,aio_verdict,free_seeker,traffic_potential,kd_percent,volume,notes,cluster,role
20,ai furry porn,ai-furry-porn,5.821,3.0,competitor_gap,informational+commercial,missing,PASS,PASS,false,4000,42,5300,"traffic=5.1, win=3.0(kd=42,wlc=2,DR21.0/ceil30)",image-gen,supporting
21,porn generator,porn-generator,5.820,1.0,competitor_gap,informational+commercial,missing,PASS,PASS,false,137000,58,3500,"traffic=7.1, win=1.0(kd=58,wlc=2,DR21.0/ceil30); above_ceiling",image-gen,planned_keystone
22,ai virtual girlfriend,ai-virtual-girlfriend,5.801,1.0,seed_modifier,informational+commercial,seed_modifier,PASS,PASS,false,4500,66,200,"traffic=4.01, win=1.0(kd=66,wlc=2,DR21.0/ceil30); above_ceiling",companions,supporting
23,ai porn generator,ai-porn-generator,5.797,1.0,competitor_gap,informational+commercial,missing,PASS,PASS,false,93000,59,77000,"traffic=6.99, win=1.0(kd=59,wlc=2,DR21.0/ceil30); above_ceiling",image-gen,supporting
24,ai porn maker,ai-porn-maker,5.750,1.0,competitor_gap,informational+commercial,missing,PASS,PASS,false,137000,65,28000,"traffic=6.75, win=1.0(kd=65,wlc=2,DR21.0/ceil30); above_ceiling",image-gen,supporting
25,sexy chat,sexy-chat,5.722,3.0,competitor_gap,informational,missing,PASS,PASS,false,450,54,2200,"traffic=2.61, win=3.0(kd=54,wlc=4,DR21.0/ceil30); above_ceiling",chat-roleplay,supporting
26,best ai porn generator,best-ai-porn-generator,5.617,1.0,competitor_gap,informational+commercial,missing,PASS,PASS,false,37000,61,3100,"traffic=6.09, win=1.0(kd=61,wlc=2,DR21.0/ceil30); above_ceiling",tools-compare,planned_keystone
27,ai anime girlfriend,ai-anime-girlfriend,5.581,1.0,competitor_gap,informational+commercial,missing,PASS,PASS,false,400,46,350,"traffic=2.91, win=1.0(kd=46,wlc=2,DR21.0/ceil30); above_ceiling",companions,supporting
28,furry ai porn,furry-ai-porn,5.341,1.0,competitor_gap,informational,missing,PASS,PASS,false,4000,50,2800,"traffic=4.7, win=1.0(kd=50,wlc=2,DR21.0/ceil30); above_ceiling",image-gen,supporting
29,ai gf,ai-gf,4.650,1.0,competitor_gap,informational,missing,PASS,PASS,false,53000,64,14000,"traffic=6.25, win=1.0(kd=64,wlc=2,DR21.0/ceil30); above_ceiling",companions,planned_keystone
30,gf ai,gf-ai,4.626,1.0,competitor_gap,informational+commercial,missing,PASS,PASS,false,39000,61,1300,"traffic=6.13, win=1.0(kd=61,wlc=2,DR21.0/ceil30); above_ceiling",companions,supporting
31,free ai girlfriend video generator,free-ai-girlfriend-video-generator,2.457,1.0,both,informational+commercial,missing,PASS,PASS,true,17000,55,2900,"traffic=5.71, win=1.0(kd=55,wlc=2,DR21.0/ceil30); FREE-SEEKER x0.4 penalty (top-of-funnel / low-business-value); above_ceiling",image-gen,supporting
32,uncensored ai generator,uncensored-ai-generator,2.447,3.0,competitor_gap,informational+commercial,missing,PASS,PASS,true,14000,34,13000,"traffic=6.59, win=3.0(kd=34,wlc=2,DR21.0/ceil30); FREE-SEEKER x0.4 penalty (top-of-funnel / low-business-value)",image-gen,supporting
33,ai girlfriend free online,ai-girlfriend-free-online,2.419,1.0,both,informational+commercial,missing,PASS,PASS,true,14000,61,150,"traffic=5.24, win=1.0(kd=61,wlc=2,DR21.0/ceil30); FREE-SEEKER x0.4 penalty (top-of-funnel / low-business-value); above_ceiling",companions,supporting
34,free uncensored ai image generator,free-uncensored-ai-image-generator,2.195,1.0,competitor_gap,informational+commercial,missing,PASS,PASS,true,14000,57,5600,"traffic=5.44, win=1.0(kd=57,wlc=2,DR21.0/ceil30); FREE-SEEKER x0.4 penalty (top-of-funnel / low-business-value); above_ceiling",image-gen,supporting
