keyword,volume,kd_percent,cpc,traffic_potential,competitor_top_position,cluster_id,first_keyword_group,intents,serp_features,source,gap_mode,priority_score,brand_fit,product_fit,winnability,notes,business_value,free_seeker,serp_intent,dr_top10_median,referring_domains_top10_median,weak_link_count,bid_verdict,bid_reason,has_aio,aio_completeness_score,aio_click_intent,aio_verdict,aio_reasoning,aio_body_source
ai nsfw,12000,35,,31000,5,,,informational|commercial,,competitor_gap,missing,,7,7,,comp_consensus=3,3,false,informational+commercial,76,,0,FAIL,dr_gap_too_wide,,,,,,
free nsfw ai,9100,24,,38000,4,,,informational|commercial,,competitor_gap,missing,,7,7,,comp_consensus=3,3,true,informational+commercial,61,,0,FAIL,dr_gap_too_wide,,,,,,
free ai sex,6600,49,,67000,1,,,informational|commercial,,competitor_gap,missing,,7,7,,comp_consensus=3,3,true,informational+commercial,58.5,,0,FAIL,dr_gap_too_wide,,,,,,
sexy ai chat,5600,41,,5500,6,,,informational|commercial,,competitor_gap,missing,,7,8,,comp_consensus=3,3,false,informational+commercial,74.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai sext,5000,30,,67000,1,,,informational,,competitor_gap,missing,,8,8,,comp_consensus=3,3,false,informational,75,,0,FAIL,dr_gap_too_wide,,,,,,
free sex ai,4500,61,,66000,1,,,informational|commercial,,competitor_gap,missing,,7,7,,comp_consensus=3,3,true,informational+commercial,47,,0,FAIL,dr_gap_too_wide,,,,,,
ai chat sex,4300,69,,400000,3,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=3,3,false,informational+commercial,49,,0,FAIL,dr_gap_too_wide,,,,,,
free ai sexting,4100,33,,64000,1,,,informational|commercial|transactional,,competitor_gap,missing,,8,8,,comp_consensus=3,3,true,informational+commercial,75,,0,FAIL,dr_gap_too_wide,,,,,,
ai girlfriends,4000,67,,53000,5,,,informational|commercial|transactional,,competitor_gap,missing,,8,8,,comp_consensus=3,3,false,informational+commercial,59,,1,FAIL,dr_gap_too_wide,,,,,,
free ai porn chat,3600,61,,343000,8,,,informational|transactional,,competitor_gap,missing,,7,8,,comp_consensus=3,3,true,informational,67,,1,FAIL,dr_gap_too_wide,,,,,,
horny ai,2500,21,,1100,2,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=3,2,false,informational+commercial,70.5,,0,FAIL,dr_gap_too_wide,,,,,,
talk dirty ai,2400,31,,4100,1,,,informational|commercial,,competitor_gap,missing,,6,5,,comp_consensus=3,2,false,informational+commercial,68,,1,FAIL,dr_gap_too_wide,,,,,,
18+ ai chat,1900,67,,775000,5,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=3,3,false,informational+commercial,64,,0,FAIL,dr_gap_too_wide,,,,,,
free adult ai chat,1600,47,,4300,3,,,informational|commercial,,competitor_gap,missing,,7,8,,comp_consensus=3,3,true,informational+commercial,71,,0,FAIL,dr_gap_too_wide,,,,,,
ai jerk off,1300,24,,900,2,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=3,2,false,informational+commercial,75,,0,FAIL,dr_gap_too_wide,,,,,,
create your own ai girlfriend,1100,59,0.08,24000,1,,ai girlfriend,informational|commercial|transactional,,both,missing,,8,8,,comp_consensus=2,3,false,informational+commercial,62,,1,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend game,900,62,0.5,22000,1,,ai girlfriend,informational|commercial,,both,missing,,8,8,,comp_consensus=2,3,false,informational+commercial,84.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai porn generator,77000,59,,93000,9,,,informational|commercial|transactional,,competitor_gap,missing,5.797,7,7,1.0,"traffic=6.99, win=1.0(kd=59,wlc=2,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,79.5,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai generated porn,55000,68,,87000,11,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=2,3,false,informational,81,,0,FAIL,dr_gap_too_wide,,,,,,
ai girls,26000,53,,11000,1,,,informational|commercial|transactional,,competitor_gap,missing,,8,5,,comp_consensus=2,2,false,informational+commercial,75,,0,FAIL,dr_gap_too_wide,,,,,,
free ai porn generator,25000,59,,134000,4,,,informational|transactional,,competitor_gap,missing,,7,7,,comp_consensus=2,3,true,informational,51,,1,FAIL,dr_gap_too_wide,,,,,,
free ai porn,23000,59,,87000,5,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=2,3,true,informational,68.5,,1,FAIL,dr_gap_too_wide,,,,,,
free ai girlfriend,16000,66,,6900,4,,,informational|commercial,,competitor_gap,missing,,8,8,,comp_consensus=2,3,true,informational+commercial,59,,0,FAIL,dr_gap_too_wide,,,,,,
porn ai generator,12000,48,,137000,4,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=2,3,false,informational+commercial,73,,1,FAIL,dr_gap_too_wide,,,,,,
create porn,12000,61,,114000,6,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=2,3,false,informational,73,,0,FAIL,dr_gap_too_wide,,,,,,
ai chat porn,11000,61,,400000,6,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=2,3,false,informational+commercial,74.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai porn free,9500,63,,87000,4,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=2,3,true,informational,70.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai boyfriend,8400,43,,2200,1,,,informational|commercial|transactional,,competitor_gap,missing,,8,8,,comp_consensus=2,3,false,informational+commercial,77,,0,FAIL,dr_gap_too_wide,,,,,,
free ai sex chat,7700,54,,67000,1,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=2,3,true,informational+commercial,65.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai cumshot,6700,3,,1500,6,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=2,2,false,informational+commercial,73,,0,FAIL,dr_gap_too_wide,,,,,,
ai hentai chat,6500,55,,4300,5,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=2,3,false,informational+commercial,64,,0,FAIL,dr_gap_too_wide,,,,,,
ai milf,5100,59,,350,8,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=2,2,false,informational+commercial,71,,0,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend online free,4900,66,,13000,1,,,informational,,competitor_gap,missing,,8,8,,comp_consensus=2,3,true,informational,59,,1,FAIL,dr_gap_too_wide,,,,,,
best porn ai,4300,50,,195000,10,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=2,3,false,informational+commercial,75,,0,FAIL,dr_gap_too_wide,,,,,,
dirty ai,3400,35,,3900,1,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=2,2,false,informational+commercial,52.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai sexchat,3400,68,,388000,4,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=2,3,false,informational+commercial,75,,0,FAIL,dr_gap_too_wide,,,,,,
ai cum,3400,9,,5600,2,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=2,2,false,informational+commercial,82,,0,FAIL,dr_gap_too_wide,,,,,,
ai porn gen,3200,61,,134000,7,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=2,3,false,informational,70.5,,1,FAIL,dr_gap_too_wide,,,,,,
18+ ai,3100,60,,3100,1,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=2,2,false,informational+commercial,58.5,,1,FAIL,dr_gap_too_wide,,,,,,
ai boyfriend online free no sign up,2900,44,,4300,4,,,informational,,competitor_gap,missing,,8,8,,comp_consensus=2,3,true,informational,72.5,,0,FAIL,dr_gap_too_wide,,,,,,
generate ai porn,2600,63,,134000,6,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=2,3,false,informational+commercial,69.5,,1,FAIL,dr_gap_too_wide,,,,,,
ai bf,2500,41,,250,3,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=2,2,false,informational+commercial,77,,0,FAIL,dr_gap_too_wide,,,,,,
ai sex app,2300,43,,92000,1,,,informational|commercial,,competitor_gap,missing,,7,7,,comp_consensus=2,3,false,informational+commercial,77,,0,FAIL,dr_gap_too_wide,,,,,,
ai porn chat free,2300,59,,12000,4,,,informational|commercial,,competitor_gap,missing,,7,8,,comp_consensus=2,3,true,informational+commercial,69,,0,FAIL,dr_gap_too_wide,,,,,,
ai sex free,2000,41,,92000,1,,,informational|transactional,,competitor_gap,missing,,7,7,,comp_consensus=2,3,true,informational,66,,0,FAIL,dr_gap_too_wide,,,,,,
sext ai,2000,27,,70000,1,,,informational|commercial,,competitor_gap,missing,,8,8,,comp_consensus=2,3,false,informational+commercial,77,,0,FAIL,dr_gap_too_wide,,,,,,
ai sexting free,2000,38,,310000,2,,,informational|commercial|transactional,,competitor_gap,missing,,8,8,,comp_consensus=2,3,true,informational+commercial,74.5,,0,FAIL,dr_gap_too_wide,,,,,,
dirty talk ai,1700,47,,4100,1,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=2,2,false,informational+commercial,49,,0,FAIL,dr_gap_too_wide,,,,,,
free ai girl,1600,61,,14000,2,,,informational|commercial,,competitor_gap,missing,,8,5,,comp_consensus=2,2,true,informational+commercial,57.5,,1,FAIL,dr_gap_too_wide,,,,,,
free porn ai generator,1600,58,,125000,3,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=2,3,true,informational,51,,1,FAIL,dr_gap_too_wide,,,,,,
ai girl chat,1500,66,,48000,3,,,informational|commercial|transactional,,competitor_gap,missing,,8,8,,comp_consensus=2,3,false,informational+commercial,53.5,,0,FAIL,dr_gap_too_wide,,,,,,
erotic ai chat,1300,64,,2500,2,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=2,3,false,informational+commercial,74.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai adult chat,1300,70,,778000,3,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=2,3,false,informational+commercial,81,,0,FAIL,dr_gap_too_wide,,,,,,
gf ai,1300,61,,39000,2,,,informational|commercial|transactional,,competitor_gap,missing,4.626,6,5,1.0,"traffic=6.13, win=1.0(kd=61,wlc=2,DR21.0/ceil30); above_ceiling",2,false,informational+commercial,51,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
milf ai,1300,57,,1600,5,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=2,2,false,informational+commercial,68,,0,FAIL,dr_gap_too_wide,,,,,,
girl ai,1200,55,,2000,5,,,informational|commercial|transactional,,competitor_gap,missing,,8,5,,comp_consensus=2,2,false,informational+commercial,73,,1,FAIL,dr_gap_too_wide,,,,,,
ai sex girl,1000,63,,7800,1,,,informational|commercial|transactional,,competitor_gap,missing,,8,7,,comp_consensus=2,3,false,informational+commercial,68.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai sex chat no sign up,700,57,,67000,1,,,informational|transactional,,competitor_gap,missing,,7,8,,comp_consensus=2,3,true,informational,47,,1,FAIL,dr_gap_too_wide,,,,,,
ai gf chatbot,700,62,,48000,5,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=2,3,false,informational+commercial,53,,0,FAIL,dr_gap_too_wide,,,,,,
ai jerkoff,700,13,,70,2,,,informational,,competitor_gap,missing,,6,5,,comp_consensus=2,2,false,informational,66,,1,FAIL,dr_gap_too_wide,,,,,,
free ai sext,600,26,,67000,1,,,informational|commercial|transactional,,competitor_gap,missing,,8,8,,comp_consensus=2,3,true,informational+commercial,64.5,,0,FAIL,dr_gap_too_wide,,,,,,
make your own ai girlfriend,600,59,,10000,1,,,informational|commercial|transactional,,competitor_gap,missing,6.410,8,8,3.0,"traffic=5.05, win=3.0(kd=59,wlc=3,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,47,,3,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai sex creator,600,35,,7400,4,,,informational|commercial,,competitor_gap,missing,5.998,7,7,3.0,"traffic=5.99, win=3.0(kd=35,wlc=2,DR21.0/ceil30)",3,false,informational+commercial,58.5,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai girlfriend nude,500,45,,250,1,,,informational|commercial|transactional,,competitor_gap,missing,5.910,8,8,3.0,"traffic=2.55, win=3.0(kd=45,wlc=2,DR21.0/ceil30)",3,false,informational+commercial,70.5,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
milf ai chat,450,58,,80,4,,,informational|commercial|transactional,,competitor_gap,missing,,7,8,,comp_consensus=2,3,false,informational+commercial,55,,0,FAIL,dr_gap_too_wide,,,,,,
ai anime girlfriend,350,46,,400,2,,,informational|commercial|transactional,,competitor_gap,missing,5.581,8,8,1.0,"traffic=2.91, win=1.0(kd=46,wlc=2,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,62,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
talk to ai girlfriend,500,55,0.25,64000,1,,ai girlfriend,informational|commercial|transactional,,both,missing,,8,8,,comp_consensus=1,3,false,informational+commercial,77,,0,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend chatbot,600,70,0.5,53000,2,,ai girlfriend,informational|commercial|transactional,,both,missing,,8,8,,comp_consensus=1,3,false,informational+commercial,64,,1,FAIL,dr_gap_too_wide,,,,,,
create ai girlfriend free,1200,68,0.2,24000,1,,ai girlfriend,informational|commercial|transactional,,both,missing,,8,8,,comp_consensus=1;mod=free,3,true,informational+commercial,52.5,,1,FAIL,dr_gap_too_wide,,,,,,
realistic ai girlfriend,250,54,0.5,24000,1,,ai girlfriend,informational|commercial|transactional,,both,missing,,8,8,,comp_consensus=1,3,false,informational+commercial,63.5,,0,FAIL,dr_gap_too_wide,,,,,,
make your ai girlfriend,300,61,,22000,1,,ai girlfriend,informational|commercial|transactional,,both,missing,,8,8,,comp_consensus=1,3,false,informational+commercial,52.5,,1,FAIL,dr_gap_too_wide,,,,,,
create your ai girlfriend,600,58,0.15,20000,1,,ai girlfriend,informational|commercial,,both,missing,6.140,8,8,1.0,"traffic=5.7, win=1.0(kd=58,wlc=2,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,51,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai girlfriend image generator,350,42,0.25,20000,4,,ai girls,informational|commercial|transactional,,both,missing,,8,8,,comp_consensus=1;mod=generator,3,false,informational+commercial,73,,1,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend free online,150,61,0.15,14000,2,,ai girlfriend,informational|commercial,,both,missing,2.419,8,8,1.0,"traffic=5.24, win=1.0(kd=61,wlc=2,DR21.0/ceil30); FREE-SEEKER x0.4 penalty (top-of-funnel / low-business-value); above_ceiling",3,true,informational+commercial,49,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
how to create an ai girlfriend,100,48,0.6,10000,1,,ai girlfriend online free,informational|commercial,,both,missing,6.520,8,8,3.0,"traffic=5.6, win=3.0(kd=48,wlc=3,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,51,,3,PASS,,true,,,RISKY,aio_present (presence-only); writer must differentiate vs AI Overview,serp_features
ai porn,724000,66,,35000,4,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,91,,0,FAIL,dr_gap_too_wide,,,,,,
nsfw ai,68000,25,,1300,8,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,92,,0,FAIL,dr_gap_too_wide,,,,,,
porn ai,59000,62,,87000,5,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,90,,0,FAIL,dr_gap_too_wide,,,,,,
sexchat,56000,66,,135000,2,,,informational|transactional,,competitor_gap,missing,6.540,7,8,3.0,"traffic=6.7, win=3.0(kd=66,wlc=3,DR21.0/ceil30); above_ceiling",3,false,informational,39,,3,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai hentai,41000,62,,7500,8,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,79,,0,FAIL,dr_gap_too_wide,,,,,,
sexy ai,34000,49,,3900,14,,,informational|commercial,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,58,,1,FAIL,dr_gap_too_wide,,,,,,
ai porn videos,29000,60,,153000,3,,,,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,hybrid,79,,0,FAIL,dr_gap_too_wide,,,,,,
ai xxx,28000,66,,58000,5,,,informational,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational,74.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai porn maker,28000,65,,137000,12,,,informational|commercial|transactional,,competitor_gap,missing,5.750,7,7,1.0,"traffic=6.75, win=1.0(kd=65,wlc=2,DR21.0/ceil30); above_ceiling",3,false,informational+commercial,44.5,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai porn video,27000,60,,153000,2,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,75.5,,1,FAIL,dr_gap_too_wide,,,,,,
naked ai,21000,56,,38000,18,,,informational,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational,72,,1,FAIL,dr_gap_too_wide,,,,,,
nsfw image generator,16000,37,,18000,5,,,informational|commercial,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,72,,0,FAIL,dr_gap_too_wide,,,,,,
hentai ai,16000,69,,4200,10,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,53,,0,FAIL,dr_gap_too_wide,,,,,,
ai pussy,16000,44,,4800,2,,,informational,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational,66.5,,1,FAIL,dr_gap_too_wide,,,,,,
best ai porn,15000,61,,125000,8,,,informational|commercial,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,79.5,,0,FAIL,dr_gap_too_wide,,,,,,
joi ai,14000,9,,8800,9,,,informational|branded,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational,69,,0,FAIL,dr_gap_too_wide,,,,,,
ai generated hentai,14000,65,,4800,11,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,72,,0,FAIL,dr_gap_too_wide,,,,,,
uncensored ai generator,13000,34,,14000,2,,,informational|commercial|transactional,,competitor_gap,missing,2.447,7,7,3.0,"traffic=6.59, win=3.0(kd=34,wlc=2,DR21.0/ceil30); FREE-SEEKER x0.4 penalty (top-of-funnel / low-business-value)",3,true,informational+commercial,49.5,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
create ai porn,12000,61,,8800,5,,,informational|transactional,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,57.5,,1,FAIL,dr_gap_too_wide,,,,,,
ai teen porn,11000,39,,2300,6,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,68,,1,FAIL,dr_gap_too_wide,,,,,,
ai slut,8900,29,,2800,2,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational+commercial,66,,0,FAIL,dr_gap_too_wide,,,,,,
ai blowjob,8500,16,,5300,4,,,informational,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational,79,,0,FAIL,dr_gap_too_wide,,,,,,
ai generated porn videos,7700,53,,9100,5,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,78.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai gay porn,7500,52,,5100,10,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,74,,0,FAIL,dr_gap_too_wide,,,,,,
ai video porn,7300,48,,148000,2,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,75.5,,1,FAIL,dr_gap_too_wide,,,,,,
ai futa,7200,5,,4900,3,,,informational,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational,80,,0,FAIL,dr_gap_too_wide,,,,,,
adult ai,7100,51,,2300,11,,,informational|commercial|transactional,,competitor_gap,missing,,7,5,,comp_consensus=1,2,false,informational+commercial,86,,0,FAIL,dr_gap_too_wide,,,,,,
ai porn pics,7000,57,,12000,12,,,,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,hybrid,55,,0,FAIL,dr_gap_too_wide,,,,,,
ai sex bot,6400,62,,66000,1,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,77,,0,FAIL,dr_gap_too_wide,,,,,,
nsfw image to video,6300,8,,2800,8,,,informational|commercial|transactional,,competitor_gap,missing,7.499,7,7,10.0,"traffic=6.49, win=10.0(kd=8,wlc=2,DR21.0/ceil30)",3,false,informational+commercial,58.5,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
uncensored ai chat,6100,67,,36000,5,,,informational,,competitor_gap,missing,,7,8,,comp_consensus=1,3,true,informational,47,,1,FAIL,dr_gap_too_wide,,,,,,
ai porn xxx,6000,70,,58000,4,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,72.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai nude girls,5900,61,,16000,5,,,informational,,competitor_gap,missing,,8,7,,comp_consensus=1,3,false,informational,76.5,,0,FAIL,dr_gap_too_wide,,,,,,
ai joi,5800,8,,600,1,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational+commercial,68.5,,0,FAIL,dr_gap_too_wide,,,,,,
futa ai,5700,3,,4900,7,,,informational|commercial|transactional,,competitor_gap,missing,,6,5,,comp_consensus=1,2,false,informational+commercial,81.5,,0,FAIL,dr_gap_too_wide,,,,,,
free uncensored ai image generator,5600,57,,14000,3,,,informational|commercial,,competitor_gap,missing,2.195,7,7,1.0,"traffic=5.44, win=1.0(kd=57,wlc=2,DR21.0/ceil30); FREE-SEEKER x0.4 penalty (top-of-funnel / low-business-value); above_ceiling",3,true,informational+commercial,47.5,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai furry porn,5300,42,,4000,8,,,informational|commercial|transactional,,competitor_gap,missing,5.821,7,7,3.0,"traffic=5.1, win=3.0(kd=42,wlc=2,DR21.0/ceil30)",3,false,informational+commercial,63.5,,2,PASS,,false,,,PASS,no ai_overview in serp_features,serp_features
ai porn images,5300,63,,212000,10,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,67,,0,FAIL,dr_gap_too_wide,,,,,,
ai porn image generator,5300,56,,12000,13,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,92,,0,FAIL,dr_gap_too_wide,,,,,,
ai girlfriend chat,5200,63,,4800,10,,,informational|commercial,,competitor_gap,missing,,8,8,,comp_consensus=1,3,false,informational+commercial,73,,1,FAIL,dr_gap_too_wide,,,,,,
nsfw chatgpt,5000,12,,5000,3,,,informational|commercial|branded,,competitor_gap,missing,,7,8,,comp_consensus=1,3,false,informational+commercial,71,,1,FAIL,dr_gap_too_wide,,,,,,
nsfw ai chats,5000,66,,337000,3,,,informational,,competitor_gap,missing,,7,8,,comp_consensus=1,3,false,informational,73,,1,FAIL,dr_gap_too_wide,,,,,,
gay ai porn,5000,54,,5000,5,,,informational|commercial|transactional,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational+commercial,57.5,,1,FAIL,dr_gap_too_wide,,,,,,
ai sex videos,4800,53,,3700,6,,,informational,,competitor_gap,missing,,7,7,,comp_consensus=1,3,false,informational,78.5,,1,FAIL,dr_gap_too_wide,,,,,,
ai girl nude,4700,52,,4200,1,,,informational|transactional,,competitor_gap,missing,,8,7,,comp_consensus=1,3,false,informational,69.5,,0,FAIL,dr_gap_too_wide,,,,,,
