from_path,to_url,impr_90d,clicks_90d,basis
/blog/ai-simulator-guide-2026,https://pleasur.ai/blog/ai-girlfriend-simulator,868,2,gsc_90d_lost_equity
/blog/candy-ai-review-2026,https://pleasur.ai/blog/is-candy-ai-safe,842,0,gsc_90d_lost_equity
/blog/rizz-ai-review-2026,https://pleasur.ai/blog/character-ai-alternative,821,2,gsc_90d_lost_equity
/blog/best-ai-apps-2026,https://pleasur.ai/blog/best-ai-girlfriend-app,819,1,gsc_90d_lost_equity
/blog/character-ai-review-2026,https://pleasur.ai/blog/character-ai-alternative,810,0,gsc_90d_lost_equity
/blog/ai-chatbot-no-sign-up-guide-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,690,15,gsc_90d_lost_equity
/blog/muah-ai-review-guide-2026,https://pleasur.ai/blog/muah-ai-review,663,2,gsc_90d_lost_equity
/blog/girlfriend-gpt-guide-2026,https://pleasur.ai/blog/ai-girlfriend-apps,568,0,gsc_90d_lost_equity
/blog/ourdream-ai-review-2026,https://pleasur.ai/blog/character-ai-alternative,553,0,gsc_90d_lost_equity
/blog/best-ai-girlfriend-app-2026,https://pleasur.ai/blog/ai-girlfriend-apps,506,0,gsc_90d_lost_equity
/blog/ai-hentai-gif,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,437,22,gsc_90d_lost_equity
/blog/best-ai-chat-bot-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,432,1,gsc_90d_lost_equity
/blog/sexy-chat-ai-guide-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,338,4,gsc_90d_lost_equity
/blog/candy-ai-alternative,https://pleasur.ai/blog/is-candy-ai-safe,334,4,gsc_90d_lost_equity
/blog/nsfw-ai-chatbot-no-filter,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,334,1,gsc_90d_lost_equity
/blog/ai-roleplay,https://pleasur.ai/blog/what-breaks-immersion-ai-roleplay,330,0,gsc_90d_lost_equity
/blog/nomi-ai-alternative,https://pleasur.ai/blog/ai-companion-best-memory,307,5,gsc_90d_lost_equity
/blog/uncensored-ai-chat,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,304,3,gsc_90d_lost_equity
/blog/best-ai-lover-apps-2026,https://pleasur.ai/blog/best-ai-girlfriend-app,266,2,gsc_90d_lost_equity
/blog/janitor-ai-alternative,https://pleasur.ai/blog/janitorai-alternatives-2026,266,1,gsc_90d_lost_equity
/blog/ai-companion-app-guide,https://pleasur.ai/blog/ai-companion-best-memory,263,6,gsc_90d_lost_equity
/blog/spicy-ai-guide-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,257,0,gsc_90d_lost_equity
/blog/anima-ai-review-2026,https://pleasur.ai/blog/character-ai-alternative,232,0,gsc_90d_lost_equity
/blog/ai-boyfriend-app-guide-2026,https://pleasur.ai/blog/ai-boyfriend,231,1,gsc_90d_lost_equity
/blog/best-ai-for-roleplay,https://pleasur.ai/blog/what-breaks-immersion-ai-roleplay,229,3,gsc_90d_lost_equity
/blog/ai-voice-chat-guide-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,223,0,gsc_90d_lost_equity
/blog/ai-sexting-chatbot,https://pleasur.ai/blog/ai-sexting,214,3,gsc_90d_lost_equity
/blog/talking-to-ai-guide-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,197,0,gsc_90d_lost_equity
/blog/ai-gf-app-guide-2026,https://pleasur.ai/blog/ai-girlfriend-apps,187,0,gsc_90d_lost_equity
/blog/ai-chatbot-girlfriend-2026,https://pleasur.ai/blog/ai-girlfriend-apps,174,0,gsc_90d_lost_equity
/blog/ai-girlfriend-free-guide-2026,https://pleasur.ai/blog/ai-girlfriend-apps,173,0,gsc_90d_lost_equity
/blog/ai-chat-online-guide-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,165,0,gsc_90d_lost_equity
/blog/ai-sexting-free-guide-2026,https://pleasur.ai/blog/ai-sexting,152,0,gsc_90d_lost_equity
/blog/ai-girlfriend-online,https://pleasur.ai/blog/ai-girlfriend-apps,151,4,gsc_90d_lost_equity
/blog/character-ai-alternative-nsfw,https://pleasur.ai/blog/character-ai-alternative,123,0,gsc_90d_lost_equity
/blog/ai-chat-free-guide-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,118,0,gsc_90d_lost_equity
/blog/ai-relationship-app-review,https://pleasur.ai/blog/character-ai-alternative,118,0,gsc_90d_lost_equity
/blog/dirty-ai-chatbot,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,111,1,gsc_90d_lost_equity
/blog/what-is-an-ai-girlfriend,https://pleasur.ai/blog/ai-girlfriend-apps,89,2,gsc_90d_lost_equity
/blog/ai-wife-guide-2026,https://pleasur.ai/blog/ai-girlfriend-apps,79,0,gsc_90d_lost_equity
/blog/spicychat-alternative,https://pleasur.ai/blog/spicychat-alternative-2026,79,1,gsc_90d_lost_equity
/blog/ai-chat-gpt-vs-companion-ai-2026,https://pleasur.ai/blog/ai-companion-best-memory,69,1,gsc_90d_lost_equity
/blog/chatgpt-alternative-guide-2026,https://pleasur.ai/blog/character-ai-alternative,62,0,gsc_90d_lost_equity
/blog/ai-girlfriend-voice-chat,https://pleasur.ai/blog/ai-girlfriend-apps,58,0,gsc_90d_lost_equity
/blog/ai-flirt,https://pleasur.ai/blog/ai-girlfriend-experience,56,0,gsc_90d_lost_equity
/blog/best-ai-girlfriend,https://pleasur.ai/blog/ai-girlfriend-apps,53,0,gsc_90d_lost_equity
/blog/chat-to-ai-guide-2026,https://pleasur.ai/blog/best-uncensored-ai-chatbot-free,53,0,gsc_90d_lost_equity
/blog/crushon-ai-alternative,https://pleasur.ai/blog/crushon-ai-review-2026,52,0,gsc_90d_lost_equity
